#{"t_start": 1779821085.2606428, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
80.0,1815,753.750161
155.0,2447,764.548337
185.0,2413,775.304946
50.0,1097,780.062928
200.0,3273,794.719969
210.0,2529,806.037745
105.0,1563,812.890379
185.0,2195,822.637426
210.0,2469,833.587666
210.0,1951,842.173366
20.0,1099,846.991022
150.0,2241,856.890944
140.0,2039,865.87927
510.0,2893,878.724805
105.0,1871,887.012013
90.0,2067,896.207132
110.0,2369,906.669749
20.0,1191,911.822589
135.0,1957,920.480473
155.0,1973,929.111396
70.0,1809,937.116997
210.0,2137,946.491047
365.0,3845,963.688192
35.0,1483,970.196761
70.0,1753,977.993369
105.0,1899,986.403198
180.0,2251,996.415202
120.0,2049,1005.487438
145.0,1957,1014.208256
95.0,2147,1027.040545
490.0,3573,1043.11377
185.0,2381,1053.824377
155.0,1859,1062.075871
125.0,2085,1071.392165
260.0,3035,1085.000779
50.0,1199,1090.318975
110.0,2053,1099.472837
60.0,1651,1106.769848
60.0,1215,1112.106771
180.0,2587,1123.66457
125.0,2071,1132.817512
130.0,2237,1142.77651
180.0,2479,1153.904848
75.0,1219,1159.23782
135.0,1915,1167.643903
75.0,1547,1174.394453
105.0,1155,1179.389796
120.0,1929,1187.87468
240.0,2773,1200.213599
155.0,1837,1208.426075
155.0,2097,1217.737844
145.0,2301,1228.006342
75.0,1645,1235.296752
415.0,4072,1253.516415
120.0,2271,1263.605573
180.0,2481,1274.663407
150.0,2413,1285.394201
155.0,2051,1294.369797
230.0,2419,1305.137482
310.0,3001,1318.475305
120.0,2425,1329.334059
50.0,1255,1334.740949
110.0,1979,1343.541396
85.0,1505,1350.078718
315.0,3293,1364.824196
115.0,1873,1373.203282
125.0,2095,1382.506773
210.0,2559,1393.972351
120.0,2335,1404.357258
155.0,2351,1414.651009
120.0,1937,1423.329409
160.0,1953,1431.912894
105.0,1575,1438.847949
120.0,1947,1447.559949
240.0,3249,1462.133019
135.0,2059,1471.33519
135.0,2379,1485.159026
280.0,3079,1498.848879
425.0,2949,1511.891045
125.0,1239,1517.307498
265.0,3101,1531.172357
55.0,1745,1538.918774
245.0,3683,1555.366847
275.0,2341,1565.749388
110.0,1931,1574.19488
155.0,2473,1585.268184
435.0,2965,1598.48095
105.0,2155,1608.108335
105.0,1901,1616.471458
75.0,1093,1621.224163
210.0,2805,1633.77476
80.0,1113,1638.624888
210.0,2815,1651.215606
205.0,2523,1662.577594
210.0,2371,1673.211973
30.0,1115,1678.136277
120.0,1327,1684.026368
215.0,2755,1696.278947
180.0,2007,1705.231069
30.0,1445,1711.690076
55.0,1523,1718.363091
380.0,2555,1729.740151
75.0,2049,1738.943507
80.0,1255,1744.494397
210.0,2515,1755.842715
455.0,2975,1769.21802
165.0,2325,1779.505565
35.0,1549,1786.354858
120.0,2093,1795.701714
415.0,2809,1808.201128
80.0,1521,1814.900502
380.0,2487,1825.999651
215.0,2761,1838.184377
320.0,3327,1853.169215
105.0,1947,1861.759155
110.0,2007,1870.698152
135.0,2263,1880.704848
210.0,2473,1891.721159
180.0,2349,1902.104796
210.0,2499,1913.165088
210.0,2815,1925.756987
355.0,2433,1940.673592
45.0,1143,1945.775567
30.0,1201,1951.050765
125.0,1889,1959.457105
180.0,2459,1970.451356
135.0,2283,1980.67836
415.0,2801,1993.190002
260.0,2947,2006.512431
30.0,1203,2011.696396
670.0,4647,2032.701424
185.0,2647,2044.606088
75.0,1255,2050.194495
110.0,1945,2058.890612
180.0,2413,2069.748223
210.0,2529,2081.088316
105.0,1507,2087.776155
105.0,1971,2096.458926
400.0,2663,2108.36742
105.0,1325,2114.156155
210.0,2549,2125.602046
150.0,2071,2134.876846
265.0,3055,2148.642692
155.0,2353,2159.158444
