#{"t_start": 1779821085.2606428, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
340.0,4201,13780.848539
595.0,3471,13799.533392
600.0,5737,13830.403881
610.0,4084,13852.326298
305.0,3565,13871.557371
610.0,5485,13901.058354
530.0,2903,13916.648968
60.0,2445,13929.833048
595.0,5126,13957.560085
680.0,4295,13980.551824
320.0,4323,14003.82038
785.0,5589,14034.033445
110.0,1805,14043.667565
390.0,3453,14062.299266
160.0,1945,14072.709582
345.0,4357,14096.210803
490.0,4821,14122.280178
545.0,4387,14146.012782
400.0,4337,14169.399866
450.0,4137,14191.688232
1005.0,6409,14226.285656
525.0,4391,14249.874268
295.0,3321,14282.139038
820.0,7415,14322.786209
320.0,2830,14338.27733
805.0,6171,14372.021902
395.0,3677,14392.013191
1165.0,8193,14436.868518
990.0,4555,14461.682537
375.0,4681,14487.208175
315.0,4189,14510.162978
375.0,3993,14531.873239
240.0,3820,14552.853222
700.0,4225,14576.081332
760.0,4385,14599.983567
1005.0,7639,14641.801593
290.0,2889,14657.6209
165.0,3561,14676.880119
1000.0,5213,14704.938267
855.0,7673,14747.121127
985.0,4447,14771.532651
460.0,3439,14790.315974
240.0,2545,14804.205416
250.0,4285,14827.477969
925.0,4617,14865.337874
395.0,4115,14887.904518
680.0,6039,14921.108569
390.0,3551,14940.482501
1035.0,5581,14971.549384
230.0,2898,14987.740313
470.0,4103,15010.663198
420.0,4089,15033.597729
570.0,4671,15059.821233
395.0,4039,15082.644428
725.0,4377,15107.264084
670.0,3991,15129.620537
890.0,7771,15173.532095
555.0,5027,15201.807512
370.0,3897,15223.622015
590.0,3858,15245.438434
530.0,5373,15275.932953
260.0,3735,15296.987964
315.0,2841,15313.100675
340.0,3139,15330.659469
530.0,4513,15356.160786
540.0,3242,15374.326242
330.0,2525,15388.523358
260.0,2599,15403.05351
575.0,6039,15447.840801
440.0,3803,15469.158815
570.0,5079,15497.566831
445.0,2753,15513.034258
315.0,3163,15530.962801
395.0,2935,15547.445431
305.0,2739,15562.746914
410.0,4203,15586.425729
360.0,3507,15606.08241
450.0,4495,15631.349736
340.0,4336,15655.711225
405.0,4301,15679.786219
320.0,3736,15700.864018
320.0,3347,15719.644138
535.0,5125,15748.630149
560.0,3754,15769.885714
270.0,3131,15787.582086
560.0,4729,15814.260712
360.0,3145,15831.944941
965.0,4999,15860.278343
525.0,4017,15883.14319
635.0,3890,15905.210528
775.0,5629,15937.009567
305.0,3191,15955.100689
470.0,4870,15982.734153
635.0,4838,16027.171629
575.0,5155,16056.197037
675.0,4709,16082.674883
380.0,4311,16106.999777
320.0,2943,16123.457795
665.0,4091,16146.343709
385.0,4073,16169.161412
820.0,4935,16196.887098
560.0,5269,16226.647761
365.0,3046,16243.691726
725.0,4161,16267.223045
575.0,3467,16286.735435
555.0,4749,16313.574892
605.0,5001,16341.830764
645.0,4992,16370.07603
805.0,5423,16400.660233
500.0,5325,16430.790462
725.0,4077,16453.762084
500.0,5235,16483.358032
855.0,7465,16525.723007
1245.0,8743,16575.131465
525.0,4477,16608.35485
965.0,7497,16650.757673
660.0,4053,16673.661533
220.0,2503,16687.641832
455.0,3793,16708.7888
295.0,2847,16724.751798
360.0,2934,16741.21885
550.0,3937,16763.272651
650.0,3601,16783.490316
200.0,2123,16795.492834
1030.0,8542,16843.778989
385.0,3981,16866.163258
265.0,3233,16884.298402
510.0,4129,16907.635918
300.0,3565,16927.559612
465.0,3521,16947.46513
640.0,4915,16975.028823
605.0,4961,17003.048938
370.0,3035,17020.207932
545.0,3889,17042.047098
310.0,3385,17061.011792
295.0,3083,17078.300887
535.0,3203,17096.381233
430.0,2813,17112.216291
475.0,3697,17133.065189
480.0,4121,17163.488863
805.0,5593,17195.054988
610.0,4699,17221.578577
290.0,2327,17234.745332
115.0,1891,17245.234614
255.0,3832,17266.888722
255.0,3303,17285.494704
300.0,3497,17305.156459
270.0,2519,17319.450909
315.0,3095,17336.955545
865.0,7943,17381.712318
365.0,3129,17399.269305
305.0,2893,17415.487423
330.0,2972,17432.121318
