#{"t_start": 1779818907.6771455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
685.0,4307,2.697279
105.0,2061,3.168774
155.0,1989,3.623937
65.0,1207,3.906596
210.0,2467,4.456379
365.0,4101,5.353236
125.0,1923,5.803861
180.0,1909,6.233677
185.0,1993,6.694327
55.0,1281,6.982767
155.0,1907,7.426089
60.0,1269,7.711499
90.0,1241,7.990728
130.0,1797,8.412657
160.0,2277,8.91778
155.0,1867,9.361941
440.0,3587,10.155689
120.0,1943,10.605016
115.0,1477,10.928259
395.0,3019,11.628378
280.0,3481,12.433132
170.0,2135,12.930603
150.0,2151,13.426173
125.0,1879,13.854074
290.0,3065,14.547189
15.0,1619,14.950655
225.0,2309,15.451912
